Article,Headline,is_sarcasm
https://www.facebook.com/profile.php?id=100007052643701&__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-]C%2CP-R,Thuận Nguyễn,1
https://www.facebook.com/profile.php?id=100007015174614&__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=-]C%2CP-R,Danh Nguyễn,1
https://www.facebook.com/huynhtrang30?__cft__[0]=AZXwPfbJ4kxRiPtkOq9N2w9H8iU0-KzP6UM5lySe1uhcE4WU64zeHJ_trrXPVlT-xacd_uQNO-ID9PIgHPR18-76boGJS0dYk-Iq8jCOj0H_gHeeoI899BOgrVHKFVoEGEyAnweY7SPCVkj9dAg-NGD7ShXOZ9bQaBDC_Ngx0IX3vQ&__tn__=R]-R,Huỳnh Thị Thùy Trang,1
https://www.facebook.com/namgioihiendai2018/?__cft__[0]=AZWSnTeHX2lcvg9tvfTPfOulfdp86LZwWpaJ710hY0QibO0hnBxd-lRAw11-y-TDLg860dNGXjLSS7BipPlkBkqrb43U8DeT7dbDGI2z78v4s-c6ihxhzRZKr92G8QwN-RvNBwufHKNn9X8W5X3XY8ChyDsUHHCbdKNOzamhbUggvieRicHCulL6GqH6PG_3YbAsyWt4FkBHZ7UFP0uKCpKQ&__tn__=-UC%2CP-R,Nam giới hiện đại,1
https://www.facebook.com/daihocfunix/?__cft__[0]=AZWEI2SQyAOI9DZuv6M-3f-msN231_cpMi1FESrbobS6k6xgLqeyYXWTnGvMbJgk7oI2FIeLRL_tqqcGqiXbqOa7de_HRquLMmtFAWUimYxRQtPGDdk3PiJ2RTCrACEbQ_IJMkZ6ZgkJp3Phie6DL2sTHaAfbuAJHiTOfCRmhaJ1zBynVrhWlLKzUI9zE_jeUZafFDIBJxyDeZhLpakXYoTaUPb7w8A8px5LZCl1Dd0GSsQ3V_CHRu_AKv-umgZyCRBlBnud1JuBeT5FfCC9ljb2WdShDtQeMg5i4cpEllRmR_jTnXvkajk2_IQLGASkPIk&__tn__=-UC%2CP-R,Đại học trực tuyến kiểu FUNiX,1
https://www.facebook.com/hashtag/funix?__eep__=6&__cft__[0]=AZWEI2SQyAOI9DZuv6M-3f-msN231_cpMi1FESrbobS6k6xgLqeyYXWTnGvMbJgk7oI2FIeLRL_tqqcGqiXbqOa7de_HRquLMmtFAWUimYxRQtPGDdk3PiJ2RTCrACEbQ_IJMkZ6ZgkJp3Phie6DL2sTHaAfbuAJHiTOfCRmhaJ1zBynVrhWlLKzUI9zE_jeUZafFDIBJxyDeZhLpakXYoTaUPb7w8A8px5LZCl1Dd0GSsQ3V_CHRu_AKv-umgZyCRBlBnud1JuBeT5FfCC9ljb2WdShDtQeMg5i4cpEllRmR_jTnXvkajk2_IQLGASkPIk&__tn__=*NK-R,#FUNiX,1
https://www.facebook.com/AwakePower/?__cft__[0]=AZUeda0SePaWoxwXrs185DH0lBpf0WsiLYlJf8JOj9QJbLJNa8rAHfogTWNrR_NcYeBi1BqUUXxbOiJfFpQVv7gXP_Oy2HIKSj4iLOYdnkc6MOBxS44dejCfDU1fFqyUJzcdNIiyjNdMUw0zulFRXsQ7LckBw0PIOeZTc8TA0b1dVg28JFbcNAndbJFUJINNwXM&__tn__=kC%2CP-R,Awake Your Power,1
https://www.facebook.com/dien.le.33046736?__cft__[0]=AZUeda0SePaWoxwXrs185DH0lBpf0WsiLYlJf8JOj9QJbLJNa8rAHfogTWNrR_NcYeBi1BqUUXxbOiJfFpQVv7gXP_Oy2HIKSj4iLOYdnkc6MOBxS44dejCfDU1fFqyUJzcdNIiyjNdMUw0zulFRXsQ7LckBw0PIOeZTc8TA0b1dVg28JFbcNAndbJFUJINNwXM&__tn__=-]C%2CP-R,Diên Lệ,1
https://www.facebook.com/hashtag/1phutsuyngam?__eep__=6&__cft__[0]=AZUeda0SePaWoxwXrs185DH0lBpf0WsiLYlJf8JOj9QJbLJNa8rAHfogTWNrR_NcYeBi1BqUUXxbOiJfFpQVv7gXP_Oy2HIKSj4iLOYdnkc6MOBxS44dejCfDU1fFqyUJzcdNIiyjNdMUw0zulFRXsQ7LckBw0PIOeZTc8TA0b1dVg28JFbcNAndbJFUJINNwXM&__tn__=*NK-R,#1phutsuyngam,1
https://www.facebook.com/hashtag/adchinhlatheo?__eep__=6&__cft__[0]=AZUeda0SePaWoxwXrs185DH0lBpf0WsiLYlJf8JOj9QJbLJNa8rAHfogTWNrR_NcYeBi1BqUUXxbOiJfFpQVv7gXP_Oy2HIKSj4iLOYdnkc6MOBxS44dejCfDU1fFqyUJzcdNIiyjNdMUw0zulFRXsQ7LckBw0PIOeZTc8TA0b1dVg28JFbcNAndbJFUJINNwXM&__tn__=*NK-R,#adchinhlatheo,1
